cd_id,date,transit_delay_index
MN-01,2020-01-01,1.16
MN-01,2020-01-02,2.3
MN-01,2020-01-03,1.72
MN-01,2020-01-04,3.29
MN-01,2020-01-05,1.78
MN-01,2020-01-06,2.74
MN-01,2020-01-07,1.74
MN-01,2020-01-08,0.12
MN-01,2020-01-09,0.0
MN-01,2020-01-10,0.0
MN-01,2020-01-11,3.1
MN-01,2020-01-12,0.0
MN-01,2020-01-13,0.91
MN-01,2020-01-14,0.78
MN-01,2020-01-15,2.26
MN-01,2020-01-16,0.46
MN-01,2020-01-17,0.0
MN-01,2020-01-18,0.0
MN-01,2020-01-19,0.0
MN-01,2020-01-20,0.0
MN-01,2020-01-21,0.0
MN-01,2020-01-22,1.02
MN-01,2020-01-23,3.44
MN-01,2020-01-24,4.52
MN-01,2020-01-25,2.01
MN-01,2020-01-26,1.14
MN-01,2020-01-27,2.7
MN-01,2020-01-28,0.7
MN-01,2020-01-29,0.0
MN-01,2020-01-30,0.0
MN-01,2020-01-31,0.0
MN-01,2020-02-01,2.74
MN-01,2020-02-02,2.3
MN-01,2020-02-03,3.28
MN-01,2020-02-04,2.15
MN-01,2020-02-05,4.73
MN-01,2020-02-06,6.23
MN-01,2020-02-07,1.92
MN-01,2020-02-08,3.43
MN-01,2020-02-09,1.27
MN-01,2020-02-10,4.66
MN-01,2020-02-11,5.57
MN-01,2020-02-12,2.09
MN-01,2020-02-13,4.71
MN-01,2020-02-14,4.13
MN-01,2020-02-15,6.54
MN-01,2020-02-16,6.53
MN-01,2020-02-17,8.57
MN-01,2020-02-18,3.72
MN-01,2020-02-19,6.11
MN-01,2020-02-20,3.04
MN-01,2020-02-21,2.76
MN-01,2020-02-22,1.58
MN-01,2020-02-23,3.04
MN-01,2020-02-24,1.05
MN-01,2020-02-25,0.9
MN-01,2020-02-26,0.0
MN-01,2020-02-27,0.0
MN-01,2020-02-28,2.52
MN-01,2020-02-29,2.93
MN-01,2020-03-01,5.58
MN-01,2020-03-02,4.41
MN-01,2020-03-03,4.63
MN-01,2020-03-04,5.73
MN-01,2020-03-05,3.3
MN-01,2020-03-06,3.47
MN-01,2020-03-07,0.79
MN-01,2020-03-08,6.33
MN-01,2020-03-09,2.6
MN-01,2020-03-10,3.21
MN-01,2020-03-11,3.78
MN-01,2020-03-12,7.09
MN-01,2020-03-13,7.04
MN-01,2020-03-14,7.2
MN-01,2020-03-15,5.58
MN-01,2020-03-16,3.39
MN-01,2020-03-17,5.82
MN-01,2020-03-18,7.58
MN-01,2020-03-19,5.66
MN-01,2020-03-20,4.85
MN-01,2020-03-21,3.76
MN-01,2020-03-22,8.33
MN-01,2020-03-23,8.02
MN-01,2020-03-24,7.86
MN-01,2020-03-25,7.39
MN-01,2020-03-26,9.58
MN-01,2020-03-27,8.93
MN-01,2020-03-28,11.51
MN-01,2020-03-29,7.54
MN-01,2020-03-30,11.52
MN-01,2020-03-31,9.54
MN-01,2020-04-01,11.77
MN-01,2020-04-02,8.62
MN-01,2020-04-03,6.09
MN-01,2020-04-04,6.62
MN-01,2020-04-05,6.04
MN-01,2020-04-06,7.04
MN-01,2020-04-07,8.26
MN-01,2020-04-08,6.51
MN-01,2020-04-09,9.92
MN-01,2020-04-10,6.35
MN-01,2020-04-11,4.73
MN-01,2020-04-12,4.99
MN-01,2020-04-13,7.77
MN-01,2020-04-14,9.06
MN-01,2020-04-15,9.76
MN-01,2020-04-16,10.9
MN-01,2020-04-17,4.61
MN-01,2020-04-18,7.5
MN-01,2020-04-19,7.28
MN-01,2020-04-20,6.2
MN-01,2020-04-21,6.61
MN-01,2020-04-22,5.7
MN-01,2020-04-23,6.88
MN-01,2020-04-24,11.95
MN-01,2020-04-25,10.78
MN-01,2020-04-26,11.06
MN-01,2020-04-27,8.7
MN-01,2020-04-28,10.43
MN-01,2020-04-29,10.99
MN-01,2020-04-30,11.34
MN-01,2020-05-01,12.47
MN-01,2020-05-02,14.02
MN-01,2020-05-03,11.81
MN-01,2020-05-04,10.17
MN-01,2020-05-05,13.17
MN-01,2020-05-06,10.12
MN-01,2020-05-07,9.58
MN-01,2020-05-08,9.71
MN-01,2020-05-09,9.83
MN-01,2020-05-10,9.04
MN-01,2020-05-11,7.06
MN-01,2020-05-12,6.9
MN-01,2020-05-13,6.33
MN-01,2020-05-14,8.62
MN-01,2020-05-15,5.71
MN-01,2020-05-16,10.6
MN-01,2020-05-17,10.27
MN-01,2020-05-18,12.69
MN-01,2020-05-19,7.75
MN-01,2020-05-20,8.36
MN-01,2020-05-21,12.9
MN-01,2020-05-22,9.05
MN-01,2020-05-23,7.83
MN-01,2020-05-24,10.59
MN-01,2020-05-25,10.29
MN-01,2020-05-26,13.13
MN-01,2020-05-27,8.89
MN-01,2020-05-28,10.89
MN-01,2020-05-29,12.99
MN-01,2020-05-30,12.76
MN-01,2020-05-31,11.58
MN-01,2020-06-01,11.66
MN-01,2020-06-02,16.89
MN-01,2020-06-03,16.82
MN-01,2020-06-04,15.29
MN-01,2020-06-05,13.34
MN-01,2020-06-06,10.75
MN-01,2020-06-07,13.1
MN-01,2020-06-08,12.72
MN-01,2020-06-09,12.59
MN-01,2020-06-10,14.58
MN-01,2020-06-11,12.9
MN-01,2020-06-12,14.55
MN-01,2020-06-13,19.92
MN-01,2020-06-14,17.12
MN-01,2020-06-15,13.56
MN-01,2020-06-16,13.48
MN-01,2020-06-17,15.35
MN-01,2020-06-18,14.95
MN-01,2020-06-19,17.66
MN-01,2020-06-20,14.35
MN-01,2020-06-21,12.75
MN-01,2020-06-22,12.3
MN-01,2020-06-23,14.87
MN-01,2020-06-24,14.05
MN-01,2020-06-25,9.96
MN-01,2020-06-26,12.99
MN-01,2020-06-27,17.55
MN-01,2020-06-28,13.83
MN-01,2020-06-29,11.54
MN-01,2020-06-30,10.36
MN-01,2020-07-01,9.39
MN-01,2020-07-02,12.54
MN-01,2020-07-03,13.02
MN-01,2020-07-04,15.44
MN-01,2020-07-05,15.96
MN-01,2020-07-06,14.2
MN-01,2020-07-07,15.66
MN-01,2020-07-08,15.03
MN-01,2020-07-09,16.58
MN-01,2020-07-10,11.77
MN-01,2020-07-11,13.17
MN-01,2020-07-12,14.64
MN-01,2020-07-13,19.63
MN-01,2020-07-14,14.4
MN-01,2020-07-15,9.71
MN-01,2020-07-16,13.54
MN-01,2020-07-17,11.29
MN-01,2020-07-18,12.77
MN-01,2020-07-19,13.34
MN-01,2020-07-20,15.62
MN-01,2020-07-21,21.99
MN-01,2020-07-22,15.02
MN-01,2020-07-23,15.43
MN-01,2020-07-24,15.07
MN-01,2020-07-25,16.27
MN-01,2020-07-26,16.66
MN-01,2020-07-27,15.86
MN-01,2020-07-28,17.29
MN-01,2020-07-29,14.74
MN-01,2020-07-30,20.82
MN-01,2020-07-31,15.47
MN-01,2020-08-01,16.75
MN-01,2020-08-02,15.06
MN-01,2020-08-03,14.0
MN-01,2020-08-04,12.05
MN-01,2020-08-05,14.62
MN-01,2020-08-06,18.35
MN-01,2020-08-07,16.5
MN-01,2020-08-08,14.78
MN-01,2020-08-09,16.97
MN-01,2020-08-10,23.75
MN-01,2020-08-11,18.05
MN-01,2020-08-12,17.53
MN-01,2020-08-13,18.02
MN-01,2020-08-14,18.43
MN-01,2020-08-15,16.02
MN-01,2020-08-16,17.21
MN-01,2020-08-17,14.34
MN-01,2020-08-18,17.38
MN-01,2020-08-19,12.74
MN-01,2020-08-20,15.78
MN-01,2020-08-21,13.64
MN-01,2020-08-22,16.62
MN-01,2020-08-23,15.67
MN-01,2020-08-24,17.39
MN-01,2020-08-25,16.81
MN-01,2020-08-26,18.16
MN-01,2020-08-27,18.4
MN-01,2020-08-28,16.99
MN-01,2020-08-29,17.71
MN-01,2020-08-30,17.47
MN-01,2020-08-31,19.49
MN-01,2020-09-01,20.75
MN-01,2020-09-02,17.43
MN-01,2020-09-03,15.89
MN-01,2020-09-04,18.8
MN-01,2020-09-05,17.08
MN-01,2020-09-06,18.72
MN-01,2020-09-07,18.38
MN-01,2020-09-08,17.36
MN-01,2020-09-09,16.97
MN-01,2020-09-10,18.34
MN-01,2020-09-11,19.39
MN-01,2020-09-12,19.47
MN-01,2020-09-13,16.86
MN-01,2020-09-14,17.9
MN-01,2020-09-15,15.23
MN-01,2020-09-16,17.44
MN-01,2020-09-17,18.82
MN-01,2020-09-18,17.81
MN-01,2020-09-19,21.51
MN-01,2020-09-20,19.19
MN-01,2020-09-21,18.58
MN-01,2020-09-22,18.53
MN-01,2020-09-23,19.96
MN-01,2020-09-24,18.72
MN-01,2020-09-25,19.81
MN-01,2020-09-26,18.75
MN-01,2020-09-27,16.98
MN-01,2020-09-28,14.27
MN-01,2020-09-29,16.84
MN-01,2020-09-30,14.11
MN-01,2020-10-01,16.23
MN-01,2020-10-02,16.76
MN-01,2020-10-03,18.72
MN-01,2020-10-04,19.05
MN-01,2020-10-05,18.02
MN-01,2020-10-06,15.73
MN-01,2020-10-07,16.85
MN-01,2020-10-08,16.89
MN-01,2020-10-09,14.97
MN-01,2020-10-10,16.33
MN-01,2020-10-11,15.6
MN-01,2020-10-12,18.49
MN-01,2020-10-13,17.32
MN-01,2020-10-14,17.43
MN-01,2020-10-15,16.9
MN-01,2020-10-16,17.48
MN-01,2020-10-17,17.26
MN-01,2020-10-18,20.82
MN-01,2020-10-19,16.91
MN-01,2020-10-20,18.21
MN-01,2020-10-21,18.2
MN-01,2020-10-22,15.86
MN-01,2020-10-23,14.3
MN-01,2020-10-24,13.72
MN-01,2020-10-25,15.25
MN-01,2020-10-26,16.58
MN-01,2020-10-27,18.58
MN-01,2020-10-28,17.24
MN-01,2020-10-29,16.25
MN-01,2020-10-30,16.28
MN-01,2020-10-31,14.23
MN-01,2020-11-01,13.79
MN-01,2020-11-02,13.8
MN-01,2020-11-03,14.34
MN-01,2020-11-04,17.09
MN-01,2020-11-05,18.44
MN-01,2020-11-06,17.54
MN-01,2020-11-07,13.48
MN-01,2020-11-08,12.95
MN-01,2020-11-09,18.63
MN-01,2020-11-10,16.15
MN-01,2020-11-11,16.67
MN-01,2020-11-12,18.2
MN-01,2020-11-13,18.04
MN-01,2020-11-14,18.2
MN-01,2020-11-15,15.71
MN-01,2020-11-16,21.41
MN-01,2020-11-17,17.8
MN-01,2020-11-18,13.04
MN-01,2020-11-19,19.52
MN-01,2020-11-20,13.9
MN-01,2020-11-21,12.29
MN-01,2020-11-22,13.53
MN-01,2020-11-23,14.96
MN-01,2020-11-24,15.17
MN-01,2020-11-25,20.5
MN-01,2020-11-26,16.61
MN-01,2020-11-27,18.15
MN-01,2020-11-28,15.89
MN-01,2020-11-29,15.36
MN-01,2020-11-30,17.64
MN-01,2020-12-01,15.02
MN-01,2020-12-02,18.07
MN-01,2020-12-03,15.92
MN-01,2020-12-04,13.96
MN-01,2020-12-05,13.32
MN-01,2020-12-06,15.84
MN-01,2020-12-07,18.45
MN-01,2020-12-08,19.4
MN-01,2020-12-09,12.83
MN-01,2020-12-10,11.96
MN-01,2020-12-11,8.91
MN-01,2020-12-12,13.8
MN-01,2020-12-13,10.65
MN-01,2020-12-14,14.13
MN-01,2020-12-15,16.93
MN-01,2020-12-16,17.28
MN-01,2020-12-17,13.35
MN-01,2020-12-18,12.44
MN-01,2020-12-19,15.33
MN-01,2020-12-20,15.52
MN-01,2020-12-21,16.0
MN-01,2020-12-22,12.37
MN-01,2020-12-23,12.03
MN-01,2020-12-24,11.64
MN-01,2020-12-25,13.64
MN-01,2020-12-26,16.94
MN-01,2020-12-27,18.95
MN-01,2020-12-28,16.15
MN-01,2020-12-29,10.69
MN-01,2020-12-30,16.48
MN-01,2020-12-31,10.61
MN-01,2021-01-01,13.08
MN-01,2021-01-02,14.95
MN-01,2021-01-03,14.88
MN-01,2021-01-04,14.13
MN-01,2021-01-05,13.7
MN-01,2021-01-06,11.6
MN-01,2021-01-07,14.69
MN-01,2021-01-08,21.41
MN-01,2021-01-09,15.0
MN-01,2021-01-10,13.33
MN-01,2021-01-11,15.04
MN-01,2021-01-12,12.57
MN-01,2021-01-13,15.66
MN-01,2021-01-14,17.98
MN-01,2021-01-15,17.99
MN-01,2021-01-16,13.86
MN-01,2021-01-17,13.84
MN-01,2021-01-18,14.49
MN-01,2021-01-19,11.54
MN-01,2021-01-20,12.96
MN-01,2021-01-21,11.83
MN-01,2021-01-22,10.96
MN-01,2021-01-23,13.06
MN-01,2021-01-24,12.27
MN-01,2021-01-25,12.26
MN-01,2021-01-26,14.2
MN-01,2021-01-27,14.2
MN-01,2021-01-28,11.19
MN-01,2021-01-29,12.55
MN-01,2021-01-30,12.35
MN-01,2021-01-31,13.77
MN-01,2021-02-01,12.0
MN-01,2021-02-02,14.89
MN-01,2021-02-03,10.9
MN-01,2021-02-04,14.94
MN-01,2021-02-05,15.85
MN-01,2021-02-06,13.07
MN-01,2021-02-07,13.75
MN-01,2021-02-08,12.44
MN-01,2021-02-09,14.69
MN-01,2021-02-10,13.07
MN-01,2021-02-11,15.53
MN-01,2021-02-12,11.53
MN-01,2021-02-13,12.63
MN-01,2021-02-14,9.4
MN-01,2021-02-15,12.83
MN-01,2021-02-16,15.35
MN-01,2021-02-17,14.71
MN-01,2021-02-18,15.11
MN-01,2021-02-19,14.39
MN-01,2021-02-20,13.77
MN-01,2021-02-21,18.85
MN-01,2021-02-22,16.73
MN-01,2021-02-23,16.53
MN-01,2021-02-24,18.79
MN-01,2021-02-25,17.7
MN-01,2021-02-26,12.91
MN-01,2021-02-27,10.26
MN-01,2021-02-28,10.14
MN-01,2021-03-01,13.95
MN-01,2021-03-02,12.04
MN-01,2021-03-03,13.64
MN-01,2021-03-04,10.78
MN-01,2021-03-05,11.51
MN-01,2021-03-06,12.35
MN-01,2021-03-07,12.89
MN-01,2021-03-08,14.49
MN-01,2021-03-09,16.74
MN-01,2021-03-10,18.67
MN-01,2021-03-11,14.62
MN-01,2021-03-12,16.87
MN-01,2021-03-13,17.84
MN-01,2021-03-14,15.88
MN-01,2021-03-15,19.22
MN-01,2021-03-16,11.6
MN-01,2021-03-17,12.8
MN-01,2021-03-18,11.74
MN-01,2021-03-19,12.26
MN-01,2021-03-20,13.09
MN-01,2021-03-21,11.27
MN-01,2021-03-22,10.91
MN-01,2021-03-23,12.65
MN-01,2021-03-24,18.32
MN-01,2021-03-25,17.85
MN-01,2021-03-26,21.44
MN-01,2021-03-27,18.58
MN-01,2021-03-28,20.29
MN-01,2021-03-29,23.93
MN-01,2021-03-30,15.77
MN-01,2021-03-31,16.11
MN-01,2021-04-01,18.88
MN-01,2021-04-02,15.56
MN-01,2021-04-03,14.93
MN-01,2021-04-04,16.69
MN-01,2021-04-05,14.5
MN-01,2021-04-06,13.84
MN-01,2021-04-07,14.2
MN-01,2021-04-08,14.45
MN-01,2021-04-09,15.97
MN-01,2021-04-10,15.38
MN-01,2021-04-11,18.4
MN-01,2021-04-12,16.13
MN-01,2021-04-13,17.87
MN-01,2021-04-14,16.36
MN-01,2021-04-15,14.26
MN-01,2021-04-16,17.07
MN-01,2021-04-17,16.94
MN-01,2021-04-18,20.93
MN-01,2021-04-19,18.0
MN-01,2021-04-20,20.45
MN-01,2021-04-21,16.58
MN-01,2021-04-22,16.98
MN-01,2021-04-23,19.64
MN-01,2021-04-24,17.35
MN-01,2021-04-25,15.27
MN-01,2021-04-26,18.24
MN-01,2021-04-27,15.95
MN-01,2021-04-28,19.32
MN-01,2021-04-29,16.36
MN-01,2021-04-30,15.55
MN-01,2021-05-01,13.91
MN-01,2021-05-02,17.84
MN-01,2021-05-03,15.05
MN-01,2021-05-04,16.17
MN-01,2021-05-05,18.59
MN-01,2021-05-06,18.57
MN-01,2021-05-07,17.45
MN-01,2021-05-08,19.1
MN-01,2021-05-09,15.66
MN-01,2021-05-10,15.18
MN-01,2021-05-11,15.47
MN-01,2021-05-12,15.88
MN-01,2021-05-13,17.79
MN-01,2021-05-14,17.88
MN-01,2021-05-15,20.81
MN-01,2021-05-16,18.86
MN-01,2021-05-17,17.1
MN-01,2021-05-18,16.35
MN-01,2021-05-19,18.22
MN-01,2021-05-20,16.7
MN-01,2021-05-21,14.81
MN-01,2021-05-22,13.94
MN-01,2021-05-23,12.28
MN-01,2021-05-24,16.35
MN-01,2021-05-25,19.69
MN-01,2021-05-26,17.37
MN-01,2021-05-27,20.42
MN-01,2021-05-28,17.28
MN-01,2021-05-29,17.3
MN-01,2021-05-30,17.26
MN-01,2021-05-31,24.52
MN-01,2021-06-01,21.05
MN-01,2021-06-02,24.44
MN-01,2021-06-03,19.54
MN-01,2021-06-04,20.07
MN-01,2021-06-05,21.14
MN-01,2021-06-06,20.2
MN-01,2021-06-07,19.14
MN-01,2021-06-08,18.17
MN-01,2021-06-09,18.53
MN-01,2021-06-10,18.35
MN-01,2021-06-11,18.02
MN-01,2021-06-12,20.7
MN-01,2021-06-13,18.22
MN-01,2021-06-14,17.39
MN-01,2021-06-15,16.78
MN-01,2021-06-16,19.52
MN-01,2021-06-17,17.38
MN-01,2021-06-18,17.41
MN-01,2021-06-19,16.05
MN-01,2021-06-20,15.79
MN-01,2021-06-21,15.14
MN-01,2021-06-22,15.57
MN-01,2021-06-23,16.31
MN-01,2021-06-24,21.52
MN-01,2021-06-25,18.72
MN-01,2021-06-26,19.17
MN-01,2021-06-27,21.78
MN-01,2021-06-28,21.3
MN-01,2021-06-29,18.72
MN-01,2021-06-30,21.61
MN-01,2021-07-01,18.87
MN-01,2021-07-02,19.41
MN-01,2021-07-03,18.48
MN-01,2021-07-04,16.6
MN-01,2021-07-05,17.57
MN-01,2021-07-06,18.16
MN-01,2021-07-07,21.09
MN-01,2021-07-08,19.38
MN-01,2021-07-09,22.13
MN-01,2021-07-10,27.31
MN-01,2021-07-11,18.75
MN-01,2021-07-12,20.31
MN-01,2021-07-13,18.71
MN-01,2021-07-14,19.0
MN-01,2021-07-15,24.63
MN-01,2021-07-16,18.9
MN-01,2021-07-17,19.57
MN-01,2021-07-18,19.02
MN-01,2021-07-19,21.21
MN-01,2021-07-20,21.37
MN-01,2021-07-21,18.83
MN-01,2021-07-22,20.41
MN-01,2021-07-23,18.43
MN-01,2021-07-24,17.01
MN-01,2021-07-25,20.24
MN-01,2021-07-26,19.97
MN-01,2021-07-27,20.63
MN-01,2021-07-28,25.14
MN-01,2021-07-29,19.26
MN-01,2021-07-30,18.77
MN-01,2021-07-31,18.44
MN-01,2021-08-01,18.42
MN-01,2021-08-02,18.17
MN-01,2021-08-03,18.04
MN-01,2021-08-04,18.08
MN-01,2021-08-05,19.69
MN-01,2021-08-06,17.88
MN-01,2021-08-07,18.33
MN-01,2021-08-08,20.83
MN-01,2021-08-09,20.85
MN-01,2021-08-10,19.4
MN-01,2021-08-11,19.68
MN-01,2021-08-12,19.79
MN-01,2021-08-13,18.89
MN-01,2021-08-14,20.29
MN-01,2021-08-15,19.8
